text	label	rationale_label
"@mallabipin Hi Bipin,BMO has made donation to the Nepal relief efforts and clients can donate to the Red Cross at their local BMO branch.^TO"	rescue_volunteering_and_donation_effort	hi§§§0.0 bipin§§§0.0 ,§§§0.0 bmo§§§0.09 has§§§0.09 made§§§0.09 donation§§§0.09 to§§§0.09 the§§§0.09 nepal§§§0.09 relief§§§0.09 efforts§§§0.09 and§§§0.0 clients§§§0.0 can§§§0.0 donate§§§0.0 to§§§0.0 the§§§0.0 red§§§0.0 cross§§§0.0 at§§§0.0 their§§§0.0 local§§§0.0 bmo§§§0.0 branch§§§0.0 .§§§0.0 ^to§§§0.0
Social media pitches in for Nepal quake aftermath: In the aftermath of the 7.9 magnitude earthquake... http://t.co/TWrMVwiJoW #SocialWeb	other_useful_information	social§§§0.0 media§§§0.0 pitches§§§0.0 in§§§0.0 for§§§0.0 nepal§§§0.07 quake§§§0.06 aftermath§§§0.07 :§§§0.06 in§§§0.08 the§§§0.08 aftermath§§§0.08 of§§§0.09 the§§§0.09 7.9§§§0.09 magnitude§§§0.08 earthquake§§§0.08 ...§§§0.01 #socialweb§§§0.0
RT @ABC7: #EARTHQUAKE 7.5-magnitude quake rocks Nepal; damage reported http://t.co/bIAuYjhjgz http://t.co/GFE7ml8wtP	other_useful_information	#earthquake§§§0.01 7.5§§§0.15 -magnitude§§§0.15 quake§§§0.14 rocks§§§0.15 nepal§§§0.14 ;§§§0.0 damage§§§0.0 reported§§§0.0
http://t.co/styU34Eu05 #Nepalearthquake * Nepal Earthquake: Teen Pulled From Rubble Alive Five Days After Disaster N… http://t.co/igBspEuKT2	affected_people_and_evacuations	#nepalearthquake§§§0.0 *§§§0.0 nepal§§§0.0 earthquake§§§0.0 :§§§0.0 teen§§§0.17 pulled§§§0.17 from§§§0.17 rubble§§§0.17 alive§§§0.17 five§§§0.0 days§§§0.0 after§§§0.0 disaster§§§0.0 n§§§0.0 …§§§0.0
#News | http://t.co/XTCliQmYEf | Scots left stranded after devastating earthquake strikes Nepal	affected_people_and_evacuations	#news§§§0.0 |§§§0.0 |§§§0.0 scots§§§0.25 left§§§0.25 stranded§§§0.25 after§§§0.0 devastating§§§0.0 earthquake§§§0.0 strikes§§§0.0 nepal§§§0.0
"#National India evacuates 170 foreigners from Nepal: The government has also brought back over 5,400 Indians so… http://t.co/xSNguLFxdh"	affected_people_and_evacuations	#national§§§0.0 india§§§0.0 evacuates§§§0.1 170§§§0.11 foreigners§§§0.11 from§§§0.0 nepal§§§0.0 :§§§0.0 the§§§0.0 government§§§0.0 has§§§0.0 also§§§0.01 brought§§§0.08 back§§§0.09 over§§§0.1 5,400§§§0.1 indians§§§0.1 so§§§0.0 …§§§0.0
"RT @RT_com: UPDATE: New powerful #NepalEarthquake triggers avalanche, tremors felt in #India http://t.co/9mXgqDZEWh http://t.co/GMCF24Fck7"	other_useful_information	update§§§0.05 :§§§0.05 new§§§0.06 powerful§§§0.06 #nepalearthquake§§§0.06 triggers§§§0.06 avalanche§§§0.06 ,§§§0.06 tremors§§§0.06 felt§§§0.06 in§§§0.06 #india§§§0.06
RT @priyankachopra: Prayers for all struck by the Nepal earthquake.Natures fury is incomparable.Share emergency contacts #SilentPrayer http…	not_related_or_irrelevant	prayers§§§0.12 for§§§0.11 all§§§0.12 struck§§§0.12 by§§§0.11 the§§§0.11 nepal§§§0.11 earthquake§§§0.11 .§§§0.0 natures§§§0.0 fury§§§0.0 is§§§0.0 incomparable§§§0.0 .§§§0.0 share§§§0.0 emergency§§§0.0 contacts§§§0.0 #silentprayer§§§0.0 …§§§0.0
RT @ANI_news: Lucknow: UP Government sends 21 trucks carrying relief material to the affected in #NepalEarthquake http://t.co/9bwSwKW3hI	rescue_volunteering_and_donation_effort	lucknow§§§0.0 :§§§0.0 up§§§0.09 government§§§0.09 sends§§§0.09 21§§§0.09 trucks§§§0.09 carrying§§§0.1 relief§§§0.1 material§§§0.1 to§§§0.09 the§§§0.09 affected§§§0.08 in§§§0.0 #nepalearthquake§§§0.0
"""@firstpost: Strong tremors felt across north India as earthquake of magnitude 7.5 hits Nepal http://t.co/o9wwJOn9ay http://t.co/sYqqCQW4sf"""	other_useful_information	""§§§0.0 :§§§0.0 strong§§§0.06 tremors§§§0.06 felt§§§0.06 across§§§0.06 north§§§0.06 india§§§0.06 as§§§0.06 earthquake§§§0.06 of§§§0.06 magnitude§§§0.07 7.5§§§0.07 hits§§§0.07 nepal§§§0.06 ""§§§0.0
Save the Children staff worked hard to deliver aid on Day 1 of #NepalQuake active response http://t.co/2ay7junnth http://t.co/w4NUZsspVc	rescue_volunteering_and_donation_effort	save§§§0.0 the§§§0.0 children§§§0.0 staff§§§0.17 worked§§§0.17 hard§§§0.16 to§§§0.17 deliver§§§0.17 aid§§§0.17 on§§§0.0 day§§§0.0 1§§§0.0 of§§§0.0 #nepalquake§§§0.0 active§§§0.0 response§§§0.0
RT @tirambad: Reports irregularities in Red Cross @RedCross in #NepalEarthquake .. Are you guys following up? We had donated around $1200.	rescue_volunteering_and_donation_effort	reports§§§0.0 irregularities§§§0.0 in§§§0.0 red§§§0.0 cross§§§0.0 in§§§0.0 #nepalearthquake§§§0.0 ..§§§0.0 are§§§0.0 you§§§0.0 guys§§§0.0 following§§§0.0 up§§§0.0 ?§§§0.0 we§§§0.14 had§§§0.14 donated§§§0.15 around§§§0.16 $1200§§§0.16 .§§§0.1
"Pls Share : Earthquake helpline at the Indian Embassy in Kathmandu-+977 98511 07021, +977 98511 35141"	rescue_volunteering_and_donation_effort	pls§§§0.0 share§§§0.0 :§§§0.0 earthquake§§§0.49 helpline§§§0.51 at§§§0.0 the§§§0.0 indian§§§0.0 embassy§§§0.0 in§§§0.0 kathmandu-+977§§§0.0 98511§§§0.0 07021§§§0.0 ,§§§0.0 +977§§§0.0 98511§§§0.0 35141§§§0.0
RT @MedShare2014: Want to help #disasterresponse in #NepalEarthquake?  Donate to @medshare	not_related_or_irrelevant	want§§§0.08 to§§§0.08 help§§§0.08 #disasterresponse§§§0.08 in§§§0.08 #nepalearthquake§§§0.08 ?§§§0.07 donate§§§0.08 to§§§0.08
#Bangladesh sending 22-member fire team to #Nepal tomorrow #NepalQuake #HelpNepal http://t.co/aLZaRviGip #ThanksHasina	rescue_volunteering_and_donation_effort	#bangladesh§§§0.1 sending§§§0.1 22-member§§§0.11 fire§§§0.1 team§§§0.1 to§§§0.1 #nepal§§§0.1 tomorrow§§§0.0 #nepalquake§§§0.0 #helpnepal§§§0.0 #thankshasina§§§0.0
RT @UNOCHA: #Nepalquake: An estimated 4.6 million people were exposed to the #earthquake shaking http://t.co/bQMi8P7VR9	injured_or_dead_people	#nepalquake§§§0.0 :§§§0.0 an§§§0.15 estimated§§§0.15 4.6§§§0.15 million§§§0.15 people§§§0.14 were§§§0.14 exposed§§§0.12 to§§§0.0 the§§§0.0 #earthquake§§§0.0 shaking§§§0.0
RT @rahulkanwal: My report on foreign tourists turning into aid workers. Trekking expeditions converted into humanitarian missions. http://…	rescue_volunteering_and_donation_effort	my§§§0.0 report§§§0.0 on§§§0.0 foreign§§§0.16 tourists§§§0.16 turning§§§0.17 into§§§0.16 aid§§§0.17 workers§§§0.17 .§§§0.0 trekking§§§0.0 expeditions§§§0.0 converted§§§0.0 into§§§0.0 humanitarian§§§0.0 missions§§§0.0 .§§§0.0
RT @RanOutOfCharact: Blessings up to those in Nepal right now. This is a straight up disaster.	not_related_or_irrelevant	blessings§§§0.12 up§§§0.11 to§§§0.11 those§§§0.11 in§§§0.11 nepal§§§0.11 right§§§0.1 now§§§0.1 .§§§0.0 this§§§0.0 is§§§0.0 a§§§0.0 straight§§§0.0 up§§§0.0 disaster§§§0.0 .§§§0.0
"Sheffield based travel firm, Jagged Globe, says one of its teams in Nepal, out of contact since the quake, has now reported all are safe."	affected_people_and_evacuations	sheffield§§§0.01 based§§§0.0 travel§§§0.01 firm§§§0.0 ,§§§0.0 jagged§§§0.0 globe§§§0.0 ,§§§0.0 says§§§0.0 one§§§0.05 of§§§0.05 its§§§0.04 teams§§§0.05 in§§§0.05 nepal§§§0.05 ,§§§0.05 out§§§0.05 of§§§0.05 contact§§§0.05 since§§§0.04 the§§§0.04 quake§§§0.04 ,§§§0.04 has§§§0.05 now§§§0.04 reported§§§0.05 all§§§0.05 are§§§0.05 safe§§§0.05 .§§§0.0
@carolineheldman You are amazing.  http://t.co/A82NajGnps	not_related_or_irrelevant	you§§§0.26 are§§§0.26 amazing§§§0.26 .§§§0.23
#Indian #SuryaRay 400 People From Maharashtra Stranded in Nepal are Safe: Devendra Fadnavis: The… http://t.co/PJI4LnKLSX #Indian @SuryaRay	affected_people_and_evacuations	#indian§§§0.0 #suryaray§§§0.0 400§§§0.09 people§§§0.09 from§§§0.08 maharashtra§§§0.09 stranded§§§0.09 in§§§0.07 nepal§§§0.08 are§§§0.08 safe§§§0.08 :§§§0.0 devendra§§§0.0 fadnavis§§§0.0 :§§§0.0 the§§§0.0 …§§§0.0 #indian§§§0.0
RT @Karma_Paljor: It's terrible in Sankhu 20 km from Katmandu. Many bodies still under rubble. Unstable buildings difficult to rescue http:…	injured_or_dead_people	it's§§§0.0 terrible§§§0.0 in§§§0.0 sankhu§§§0.0 20§§§0.0 km§§§0.0 from§§§0.0 katmandu§§§0.0 .§§§0.0 many§§§0.17 bodies§§§0.18 still§§§0.16 under§§§0.17 rubble§§§0.17 .§§§0.0 unstable§§§0.0 buildings§§§0.0 difficult§§§0.0 to§§§0.0 rescue§§§0.0 :§§§0.0 …§§§0.0
"RT @omni_flyers: Air India flight from #Delhi to #KTM holding in air, maybe due to latest aftershocks #NepalEarthquake http://t.co/C1RAe6cK…"	infrastructure_and_utilities_damage	air§§§0.08 india§§§0.08 flight§§§0.08 from§§§0.08 #delhi§§§0.08 to§§§0.08 #ktm§§§0.09 holding§§§0.09 in§§§0.08 air§§§0.08 ,§§§0.0 maybe§§§0.0 due§§§0.0 to§§§0.0 latest§§§0.0 aftershocks§§§0.0 #nepalearthquake§§§0.0 …§§§0.0
Nepal hit by major aftershock as search for quake survivors intensifies http://t.co/jNzQs9ZvC8 #news #world	other_useful_information	nepal§§§0.15 hit§§§0.15 by§§§0.14 major§§§0.14 aftershock§§§0.14 as§§§0.0 search§§§0.0 for§§§0.0 quake§§§0.0 survivors§§§0.0 intensifies§§§0.0 #news§§§0.0 #world§§§0.0
"RT @Ashishkhalifa: Darbar Square,the pride of Nepal and a UNESCO World Heritage Site has suffered massive damage in today Quake,#Nepal http…"	infrastructure_and_utilities_damage	darbar§§§0.05 square§§§0.05 ,§§§0.05 the§§§0.05 pride§§§0.05 of§§§0.05 nepal§§§0.05 and§§§0.05 a§§§0.05 unesco§§§0.05 world§§§0.05 heritage§§§0.05 site§§§0.05 has§§§0.05 suffered§§§0.05 massive§§§0.05 damage§§§0.05 in§§§0.0 today§§§0.0 quake§§§0.0 ,§§§0.0 #nepal§§§0.0 …§§§0.0
We must find the missing people in Nepal #earthquake http://t.co/TssoqfSKFf	affected_people_and_evacuations	we§§§0.01 must§§§0.01 find§§§0.21 the§§§0.26 missing§§§0.26 people§§§0.26 in§§§0.0 nepal§§§0.0 #earthquake§§§0.0
RT @Examiner: Nepal earthquake: Himalaya trekker Laura Wood from Huddersfield feared missing http://t.co/0XLxqZ2J3g http://t.co/pMO6nXCzeK	affected_people_and_evacuations	nepal§§§0.0 earthquake§§§0.0 :§§§0.01 himalaya§§§0.08 trekker§§§0.09 laura§§§0.09 wood§§§0.08 from§§§0.08 huddersfield§§§0.08 feared§§§0.08 missing§§§0.08
RT @HMOIndia: Bureau of Immigration has been instructed by the HM to give gratis visas to all tourists stranded in Nepal who are coming to …	rescue_volunteering_and_donation_effort	bureau§§§0.06 of§§§0.06 immigration§§§0.06 has§§§0.06 been§§§0.06 instructed§§§0.06 by§§§0.06 the§§§0.06 hm§§§0.06 to§§§0.06 give§§§0.06 gratis§§§0.07 visas§§§0.06 to§§§0.06 all§§§0.05 tourists§§§0.05 stranded§§§0.05 in§§§0.0 nepal§§§0.0 who§§§0.0 are§§§0.0 coming§§§0.0 to§§§0.0 …§§§0.0
RT @MIB_India: #NepalEarthquake:IAF Continues to Evacuate Stranded People in Nepal- Operation Maitri:http://t.co/Dafthhe4LC http://t.co/Lae…	affected_people_and_evacuations	#nepalearthquake§§§0.0 :§§§0.0 iaf§§§0.0 continues§§§0.0 to§§§0.0 evacuate§§§0.32 stranded§§§0.35 people§§§0.33 in§§§0.0 nepal-§§§0.0 operation§§§0.0 maitri§§§0.0 :§§§0.0 …§§§0.0
"@dinosofos @MichaelPDeacon Torygraph:HSBC scandal suppression, CCHQ propaganda letters displacing Nepal tragedy on front page. Discredited."	not_related_or_irrelevant	torygraph§§§0.04 :§§§0.04 hsbc§§§0.04 scandal§§§0.04 suppression§§§0.04 ,§§§0.04 cchq§§§0.04 propaganda§§§0.04 letters§§§0.04 displacing§§§0.04 nepal§§§0.04 tragedy§§§0.04 on§§§0.04 front§§§0.04 page§§§0.04 .§§§0.04 discredited§§§0.04 .§§§0.04
"RT @Thekkapoor: T945-Pls share n spread the contact numbers for Nepal,helplines . #earthquake @SrBachchan @iamsrk @KapilSharmaK9 #RT http:/…"	rescue_volunteering_and_donation_effort	t945-pls§§§0.0 share§§§0.0 n§§§0.0 spread§§§0.0 the§§§0.07 contact§§§0.11 numbers§§§0.11 for§§§0.09 nepal§§§0.1 ,§§§0.09 helplines§§§0.11 .§§§0.0 #earthquake§§§0.0 #rt§§§0.0 :/§§§0.0 …§§§0.0
Flash: at least 217 mountaineers missing from Everest base camp area #NepalQuake	affected_people_and_evacuations	flash§§§0.0 :§§§0.0 at§§§0.14 least§§§0.14 217§§§0.14 mountaineers§§§0.15 missing§§§0.14 from§§§0.0 everest§§§0.0 base§§§0.0 camp§§§0.0 area§§§0.0 #nepalquake§§§0.0
Nepal earthquake: climber captures Mount Everest avalanche  - #c4news http://t.co/e7Jre6vq14	other_useful_information	nepal§§§0.08 earthquake§§§0.08 :§§§0.07 climber§§§0.06 captures§§§0.06 mount§§§0.07 everest§§§0.07 avalanche§§§0.07 -§§§0.03 #c4news§§§0.04
RT @Outlookindia: Nepal Earthquake: Father-Son Duo of Jammu Hamlet Killed | http://t.co/yaQbKhkfOy | Outlook Wires	injured_or_dead_people	nepal§§§0.0 earthquake§§§0.0 :§§§0.0 father-son§§§0.11 duo§§§0.11 of§§§0.11 jammu§§§0.11 hamlet§§§0.11 killed§§§0.11 |§§§0.0 |§§§0.0 outlook§§§0.0 wires§§§0.0
After 5 days on #Nepal earthquake .. boy recovered from under the rubble and he is alive http://t.co/xxUSobBEQg	affected_people_and_evacuations	after§§§0.0 5§§§0.0 days§§§0.0 on§§§0.0 #nepal§§§0.0 earthquake§§§0.0 ..§§§0.0 boy§§§0.1 recovered§§§0.1 from§§§0.09 under§§§0.09 the§§§0.09 rubble§§§0.09 and§§§0.08 he§§§0.09 is§§§0.09 alive§§§0.09
"RT @drspagarwal: Indian #RedCross offers #blood units,Tents,#WatSan Units,family packs etc. to earthquake victims in Nepal.picture still ev…"	rescue_volunteering_and_donation_effort	indian§§§0.04 #redcross§§§0.05 offers§§§0.05 #blood§§§0.05 units§§§0.05 ,§§§0.05 tents§§§0.05 ,§§§0.05 #watsan§§§0.05 units§§§0.05 ,§§§0.05 family§§§0.05 packs§§§0.05 etc§§§0.04 .§§§0.04 to§§§0.04 earthquake§§§0.04 victims§§§0.04 in§§§0.0 nepal§§§0.0 .§§§0.0 picture§§§0.0 still§§§0.0 ev§§§0.0 …§§§0.0
RT @peter_vas: Evangelism without social work is deficient; social work without evangelism is impotent. —John R. Mott. This is why they are…	not_related_or_irrelevant	evangelism§§§0.03 without§§§0.03 social§§§0.03 work§§§0.03 is§§§0.03 deficient§§§0.04 ;§§§0.03 social§§§0.03 work§§§0.03 without§§§0.03 evangelism§§§0.03 is§§§0.03 impotent§§§0.03 .§§§0.03 —§§§0.03 john§§§0.03 r§§§0.03 .§§§0.03 mott§§§0.03 .§§§0.03 this§§§0.03 is§§§0.03 why§§§0.03 they§§§0.03 are§§§0.03 …§§§0.03
India's Under-14 Girls Football Team Stuck in Nepal Due to Earthquake: Eighteen members of India's Under-14 gi... http://t.co/d9jD4lSieK	affected_people_and_evacuations	india's§§§0.11 under-14§§§0.11 girls§§§0.11 football§§§0.11 team§§§0.11 stuck§§§0.11 in§§§0.0 nepal§§§0.0 due§§§0.0 to§§§0.0 earthquake§§§0.0 :§§§0.0 eighteen§§§0.0 members§§§0.0 of§§§0.0 india's§§§0.0 under-14§§§0.0 gi§§§0.0 ...§§§0.0
RT @MicroMappers: Our Crowdsourced CrisisMap of #Nepal has 150+ pictures of #earthquake disaster damage (and counting). See Maps: http://t.…	infrastructure_and_utilities_damage	our§§§0.0 crowdsourced§§§0.0 crisismap§§§0.0 of§§§0.0 #nepal§§§0.0 has§§§0.0 150+§§§0.13 pictures§§§0.13 of§§§0.13 #earthquake§§§0.16 disaster§§§0.16 damage§§§0.16 (§§§0.0 and§§§0.0 counting§§§0.0 )§§§0.0 .§§§0.0 see§§§0.0 maps§§§0.0 :§§§0.0 .…§§§0.0
"#Dauris #Payano.''♥ The Latest on Nepal Quake: Death Toll 4,438 in 3 Countries: Experts say major... http://t.co/bCWONc1T8C #LOVE_MANITO"	injured_or_dead_people	#dauris§§§0.0 #payano§§§0.0 .§§§0.0 ''§§§0.0 ♥§§§0.0 the§§§0.0 latest§§§0.0 on§§§0.0 nepal§§§0.0 quake§§§0.0 :§§§0.0 death§§§0.13 toll§§§0.13 4,438§§§0.13 in§§§0.12 3§§§0.12 countries§§§0.11 :§§§0.0 experts§§§0.0 say§§§0.0 major§§§0.0 ...§§§0.0 #love_manito§§§0.0
"RT @DevirupaM: Latest big one as per @USGS: epicentre - Kodari, Nepal, 6.7 magnitude  http://t.co/mxAgGBjGtr #NepalEarthquake http://t.co/2…"	other_useful_information	latest§§§0.05 big§§§0.05 one§§§0.04 as§§§0.04 per§§§0.03 :§§§0.04 epicentre§§§0.06 -§§§0.06 kodari§§§0.07 ,§§§0.07 nepal§§§0.07 ,§§§0.07 6.7§§§0.07 magnitude§§§0.07 #nepalearthquake§§§0.03 …§§§0.0
"After Nepal Earthquake, a Pile of Bodies and a Lost World: At Kathmandu's Bir Hospital, there is a long row of dead bodies lined up. ..."	injured_or_dead_people	after§§§0.0 nepal§§§0.0 earthquake§§§0.0 ,§§§0.0 a§§§0.08 pile§§§0.08 of§§§0.08 bodies§§§0.08 and§§§0.0 a§§§0.0 lost§§§0.0 world§§§0.0 :§§§0.0 at§§§0.0 kathmandu's§§§0.0 bir§§§0.0 hospital§§§0.0 ,§§§0.0 there§§§0.0 is§§§0.0 a§§§0.08 long§§§0.08 row§§§0.09 of§§§0.09 dead§§§0.09 bodies§§§0.09 lined§§§0.09 up§§§0.08 .§§§0.0 ...§§§0.0
RT @sardogsnepal: #NepalQuakeRelief  Follow updates at our website  &amp; donate for our medical disaster response camp in #Gorkha http://t.co/…	other_useful_information	#nepalquakerelief§§§0.0 follow§§§0.07 updates§§§0.08 at§§§0.07 our§§§0.08 website§§§0.07 and§§§0.07 donate§§§0.08 for§§§0.07 our§§§0.06 medical§§§0.07 disaster§§§0.07 response§§§0.06 camp§§§0.06 in§§§0.03 #gorkha§§§0.04 …§§§0.0
"RT @ChristopherJM: Awful. At least 688 dead in Nepal, according to police. Another 20 killed in India, 6 in Tibet and 2 in Bangladesh. http…"	injured_or_dead_people	awful§§§0.0 .§§§0.0 at§§§0.05 least§§§0.05 688§§§0.05 dead§§§0.05 in§§§0.0 nepal§§§0.0 ,§§§0.0 according§§§0.0 to§§§0.0 police§§§0.0 .§§§0.0 another§§§0.05 20§§§0.05 killed§§§0.05 in§§§0.05 india§§§0.05 ,§§§0.05 6§§§0.05 in§§§0.05 tibet§§§0.05 and§§§0.05 2§§§0.05 in§§§0.05 bangladesh§§§0.05 .§§§0.0 …§§§0.0
"RT @nytimes: The Nepal earthquake touched off an avalanche on Mount Everest, causing injuries and deaths http://t.co/Yrs1MXK9H3 http://t.co…"	injured_or_dead_people	the§§§0.0 nepal§§§0.0 earthquake§§§0.0 touched§§§0.0 off§§§0.0 an§§§0.0 avalanche§§§0.0 on§§§0.0 mount§§§0.0 everest§§§0.0 ,§§§0.0 causing§§§0.25 injuries§§§0.26 and§§§0.24 deaths§§§0.25 …§§§0.0
RT @SPoonia777: #MSGHelpEarthquakeVictims Google has released a people finder for the #NepalEarthquake http://t.co/DXa0mzqtGx (data not ver…	rescue_volunteering_and_donation_effort	#msghelpearthquakevictims§§§0.0 google§§§0.17 has§§§0.15 released§§§0.17 a§§§0.17 people§§§0.18 finder§§§0.17 for§§§0.0 the§§§0.0 #nepalearthquake§§§0.0 (§§§0.0 data§§§0.0 not§§§0.0 ver§§§0.0 …§§§0.0
RT @NeverForget0911: Help us help #Nepal. NFF is sending responders for rescue &amp; recovery. We need your donation to help those affected. ht…	rescue_volunteering_and_donation_effort	help§§§0.0 us§§§0.0 help§§§0.0 #nepal§§§0.0 .§§§0.0 nff§§§0.11 is§§§0.11 sending§§§0.11 responders§§§0.12 for§§§0.11 rescue§§§0.11 and§§§0.11 recovery§§§0.11 .§§§0.0 we§§§0.0 need§§§0.0 your§§§0.0 donation§§§0.0 to§§§0.0 help§§§0.0 those§§§0.0 affected§§§0.0 .§§§0.0 ht§§§0.0 …§§§0.0
"""The Nepal Government will take serious legal action against the black market people and people spreading rumors"" #NapalEarthquake"	not_related_or_irrelevant	""§§§0.04 the§§§0.04 nepal§§§0.04 government§§§0.04 will§§§0.04 take§§§0.04 serious§§§0.04 legal§§§0.04 action§§§0.04 against§§§0.04 the§§§0.04 black§§§0.04 market§§§0.04 people§§§0.04 and§§§0.04 people§§§0.04 spreading§§§0.04 rumors§§§0.04 ""§§§0.04 #napalearthquake§§§0.04
"RT @abcnews: Australians missing after #Nepal #earthquake kills more than 1,300 http://t.co/1cs7UqYps5 https://t.co/VkU3HPH1Nb"	affected_people_and_evacuations	australians§§§0.25 missing§§§0.25 after§§§0.0 #nepal§§§0.0 #earthquake§§§0.0 kills§§§0.0 more§§§0.0 than§§§0.0 1,300§§§0.0
"Death toll rises to 1,805 after 7.8 magnitude earthquake devastates Nepal http://t.co/FHy7LNH2vE http://t.co/oXtdTH7aWD"	injured_or_dead_people	death§§§0.17 toll§§§0.17 rises§§§0.17 to§§§0.16 1,805§§§0.17 after§§§0.0 7.8§§§0.0 magnitude§§§0.0 earthquake§§§0.0 devastates§§§0.0 nepal§§§0.0
"Alex Staniforth,19,from Cheshire, survived being hit by earthquake avalanche below Everest in Nepal. Shaken but safe http://t.co/dsq411Mxqx"	affected_people_and_evacuations	alex§§§0.08 staniforth§§§0.08 ,§§§0.08 19§§§0.08 ,§§§0.08 from§§§0.08 cheshire§§§0.08 ,§§§0.08 survived§§§0.09 being§§§0.0 hit§§§0.01 by§§§0.0 earthquake§§§0.01 avalanche§§§0.0 below§§§0.0 everest§§§0.0 in§§§0.0 nepal§§§0.0 .§§§0.0 shaken§§§0.0 but§§§0.0 safe§§§0.0
Climbers stranded on Everest face 'race against time' after Nepal earthquake http://t.co/22mg5uea61	affected_people_and_evacuations	climbers§§§0.33 stranded§§§0.33 on§§§0.0 everest§§§0.0 face§§§0.0 '§§§0.0 race§§§0.0 against§§§0.0 time§§§0.0 '§§§0.0 after§§§0.0 nepal§§§0.0 earthquake§§§0.0
